2024-07-14 19:29:54,389 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Configure stats pid to 107372
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Loading settings from /home/edge/.config/wandb/settings
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Loading settings from /home/edge/dev/py/minGPTtoONNX/python/wandb/settings
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python/src/torch-training.py', 'program_abspath': '/home/edge/dev/py/minGPTtoONNX/python/src/torch-training.py', 'program': '/home/edge/dev/py/minGPTtoONNX/python/src/torch-training.py'}
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:_log_setup():529] Logging user logs to /home/edge/dev/py/minGPTtoONNX/python/wandb/run-20240714_192954-gu3tgde7/logs/debug.log
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:_log_setup():530] Logging internal logs to /home/edge/dev/py/minGPTtoONNX/python/wandb/run-20240714_192954-gu3tgde7/logs/debug-internal.log
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:init():569] calling init triggers
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'model_type': 'gpt-nano', 'batch_size': 16, 'block_size': 11, 'vocab_size': 3, 'pretrained': False, 'device': 'cpu', 'max_iters': 1000, 'learning_rate': 0.0001, 'use_wandb': True}
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:init():619] starting backend
2024-07-14 19:29:54,390 INFO    MainThread:107372 [wandb_init.py:init():623] setting up manager
2024-07-14 19:29:54,392 INFO    MainThread:107372 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-14 19:29:54,393 INFO    MainThread:107372 [wandb_init.py:init():631] backend started and connected
2024-07-14 19:29:54,395 INFO    MainThread:107372 [wandb_init.py:init():720] updated telemetry
2024-07-14 19:29:54,401 INFO    MainThread:107372 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-14 19:29:54,904 INFO    MainThread:107372 [wandb_run.py:_on_init():2402] communicating current version
2024-07-14 19:29:55,116 INFO    MainThread:107372 [wandb_run.py:_on_init():2411] got version response 
2024-07-14 19:29:55,117 INFO    MainThread:107372 [wandb_init.py:init():804] starting run threads in backend
2024-07-14 19:29:58,554 INFO    MainThread:107372 [wandb_run.py:_console_start():2380] atexit reg
2024-07-14 19:29:58,554 INFO    MainThread:107372 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-14 19:29:58,554 INFO    MainThread:107372 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-14 19:29:58,554 INFO    MainThread:107372 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-14 19:29:58,566 INFO    MainThread:107372 [wandb_init.py:init():847] run started, returning control to user process
2024-07-14 19:30:08,188 WARNING MsgRouterThr:107372 [router.py:message_loop():77] message_loop has been closed
